Zone of Inhibition (mm),Susceptibility profile,Antibiotic (g)
8.89‫‪±‬‬0.25f,resistant,Clindamycin (2)
0.00‫‪±‬‬0.008,resistant,Gentamicin (10)
0.00‫‪±‬‬0.00,resistant,Streptomycin (10)
0.00‫‪±‬‬0.008,resistant,Ciprofloxacin (5)
32.9‫‪±‬‬10.01a,sensitive,Penicillin (10)
0.00‫‪±‬‬0.008,resistant,Vancomycin (30)
12.4‫‪8‫‪±‬‬0.56e,resistant,Novobiocin (5)
24.21‫‪±‬‬2.13c,sensitive,Cefalotin (30)
27.12‫‪±‬‬0.11b,sensitive,Ampicillin (10)
26.80‫‪±‬‬0.90b,sensitive,Cefazolin (30)
17.31‫‪±‬‬1.23d,intermediate,Ceftriaxone (30)
0.00‫‪±‬‬0.00,resistant,Nalidixic acid (30)
9.38‫‪±‬‬0.21f,resistant,Imipenem (10)
