Legumes,Bio-active compounds,Bio-active compounds,Bio-active compounds,Reference
,Phenolic acids,Flavonoids,"Others (Phytosterols, Saponin, Carotenoids)",
Cowpea,"Coumaric acid, Gallic acid, Chlorogenic acid,
Caffeic acid,Ferulic acid","Quercetin Catechin,Epicatechin",,Moreira-Araujo et al. 2017
Bambara groundnut ,"Gallic acid, Chlorogenic acid, Ellagic acid","Catechin, Quercetin, Kaempferol, Rutin,",,Harris et al. 2018
Marama bean,"Caffeic acid,Gallic acid,Ferulic acid, Sinapic
acid, Syringic acid, p-Hydroxybenzoic acid,
p-Coumaric acid, Vanillic acid, Protocatechuic acid","Fisetin, Myricetin, Quercetin, Astragalin,
Kaempferol, Rutin, Naringin Hesperidin
Catechin","Phytosterols (4-desmethylsterols,
4,4-dimethylsterols, vitamin E isomers -,
- and -tocopherols, secoisolariciresinol,
lariciresinol and pinoresinol)",Omotayo and Aremu 2021
Adzuki bean,"Caffeic acid, Gallic acid,Gentistic acid
Chlorogenic acid, Phloretic acid, Ferulic acid
Veratric acid, n-Coumaric acid, 
Protocatechuic acid, Hesperidin",,,
,,"Catechin, Vitexin-4""-O-
glucoside, Quercetin-3-O-
Glucoside,Quercetin-3-O-rutinoside","SaponinAzukisaponin I, II, III,IVV,VI",Liu et al.2017
,"Caffeic acid,Gallic acid,p-Hydroxybenzoic
acid, p-Coumaric acid, Protocatechuic acid",,,Siger et al.2012
,,Apigenin glycosides,"Phytosterols (Campesterol, Campestanol,
Stigmasterol, -Sitosterol, 5-Avenasterol,
7-Stigmastenol, 24-Methylenecycloar-
tanol) Carotenoids (Violaxanthin, Lutein,
Zeaxanthin, -Carotene, -Carotene),
Tocopherols (-T, -T), Oligosaccharides
(Sucrose, Raffinose, Stachyose)
",Czubinski et al.2021
Rice bean,"p-Coumaric acid, Caffeic acid Chlorogenic
acid, Ferulic acid, Sinapic acid",,,Yao et al. 2011
,,"Catechin EpicatechinVitexinIsovitexin
Quercetin",,Yao et al.2012
Hyacinth bean,"Gallic acid, 4-Hydroxy-3.
methoxybenzoic acid, Syringic acid, p-Cou-
maric acid, Ferulic acid, Cinnamic acid",CatechinEpicatechinRutin,"Carotenoids (Lutin, Lycopene, -carotene)",Habib et al.2017
Horse gram,"Gallic acid, Protocatechuic acid, Syringic
acid,Vanillic acidCaffeic acidChloro
genic acid, Ferulic acid, p-Coumaric acid,
p-Hydroxybenzoic acid, Sinapic acid","Daidzein, Genistein
, Kaempferol, Myricetin Quercetin",,"Sreerama et al. 2010a, b"
