,N,Total,Men,Women
"Men (n,%)",215,60 (28),60 (100),155 (0)
"Mean age, years (SD)",215,39 (19),45 (19),37 (18)
"Age category (n, %)",215,,,
<25 years,,90 (42),19 (32),71 (46)
2550 years,,43 (20),10 (16),33 (21)
50 years,,82 (38),31 (52),51 (33)
"Mean BMI,kg/m2 (SD)",215,23.8 (4.0),25.0 (4.3),23.4 (3.8)
"BMI category (n, %)",215,,,
<18.5 kg/m2,,7 (3),11,6 (4)
18.525 kg/m2,,148 (69),34 (57),114 (73)
25 kg/m2,,60 (28),25 (42),35 (23)
"Mean BMR,kcal/day(SD)",215,1545 (211),1799 (174),1446 (122)
Mean PAL,203,1.46 (0.02),1.46 (0.02),1.46 (0.01)
"Educational level (n, %)",215,,,
Low,,5 (2),0 (0),5 (3)
Intermediate,,85 (40),26 (43),59 (38)
High,,125 (58),34 (57),91 (59)
"Marital status (n, %)",215,,,
Married/registered partnership,,69 (32),25 (42),44 (28)
Cohabiting,,25 (12),8 (13),17 (11)
"Serious relationship, not cohabiting",,20 (9),6 (10),14 (9)
Single,,90 (42),17 (28),73 (47)
Divorced,,7 (3),3 (5),4 (3)
Widowed,,3 (1),0 (0),3 (2)
Other,,1 (1),1 (2),0 (0)
"Paid job currently (n, %)",215,,,
Yes,,112 (52),33 (55),79 (51)
No,,103 (48),27 (45),76 (49)
