Variables,Underestimation,Correct estimation,Overestimation
,n=111,n=496,n=67
Parental characteristics,,,
"Questionnaire responder, %",,,
Only the mother,83 (74.77),401 (80.85),55 (82.09)
Only the father,14 (12.61),33 (6.65),7 (10.45)
Both mother and father,14 (12.61),58 (11.69),5 (7.46)
Maternal age (y),39.80 (4.17),40.08 (3.97),39.77 (3.58)
"Maternal high education,%",88 (79.28),408 (82.26),55 (82.09)
"Family history of obesity, %",18 (16.22),98 (19.76),13 (19.40)
"Knowledge about child's nutritional recommendations, %",,,
Low score(<40%),23 (20.72),117 (23.59),12 (17.91)
Medium score (40-70%),73 (65.77),312 (62.90),46 (68.66)
High score (>70%),15 (13.51),67 (13.51),9 (13.43)
"Number of children, %",,,
1-2,63 (56.76),287 (57.86),47 (70.15)
3-4,25 (22.52),121 (24.40),11 (16.42)
5 or more,23 (20.72),88 (17.74),9 (13.43)
Children characteristics,,,
"Sex (female,%",52 (46.85),241 (48.59),34 (50.75)
Agey,5.13 (0.83),5.07 (0.89),4.97 (0.88)
"Race (white), %",102 (91.89),483 (97.38),66 (98.51)
"Gestational age, %",,,
<38 wk,19 (17.27),71 (14.37),9 (13.64)
38-40 wk,45 (40.91),192 (38.87),35 (53.03)
>40 wk,46 (41.82),231 (46.76),22 (33.33)
Birthweight (g),3228 (653),3247 (526),3135 (541)
"Breastfeeding duration, %",,,
No breastfeeding,22 (19.82),76 (15.32),7 (10.45)
<3 mon,11 (9.91),63 (12.70,6 (8.96)
3-6 mon,25 (22.52),108 (21.77),5 (7.46)
>6mon,53 (47.75),249 (50.20),49 (73.13)
"Position among siblings, %",,,
The oldest/singletons,38 (34.23),189 (38.10),27 (40.30)
2 nd/3 or 2 nd-3 rd/4,20 (18.02),100 (20.16),10 (14.93)
The youngest or beyond the 4th,53 (47.75),207 (41.73),30 (44.78)
Z-score of the BMI,0.81 (1.23),0.10 (0.88),1.16 (0.96)
Kidmed score,,,
Low (3 points),14 (12.61),38 (7.66),7 (10.45)
Medium (47 points),77 (69.37),349 (70.36),52 (77.61)
High (8 points),20 (18.02),109 (21.98),8 (11.94)
Total energy intake (kcal/d),2091 (492),2081 (502),2035 (575)
Physical activity (METs-h/wk),38.96 (27.98),42.02 (31.06),32.54 (19.69)
Screen time (hours/day),1.42 (0.89),1.24 (0.94),1.00 (0.74)
"Snacking, %",,,
3 times/mon,58 (53.21),292 (60.33),42 (64.62)
13 times/wk,39 (35.78),141 (29.13),18 (27.69)
4 times/wk,12 (11.01),51 (10.54),5 (7.69)
"TV watching during meals, %",,,
3 times/mon,63 (56.76),312 (62.90),36 (53.73)
1-3 times/wk,17 (15.32),97 (19.56),18 (26.87)
