Topic Regarding EOH,Finding,References
Monounsaturated fat,Low,[52]
Fiber,Low,"[15,27,45,52,53]"
Micronutrients intake,Micronutrients intake,Micronutrients intake
Micronutrients,Low,[51]
Sodium,High,"[41,51,53]"
Phosphorus,Low,[45]
Potassium,Low,[45]
Niacin,Low,[45]
Calcium,Low,"[27,54]"
Vitamin C,Low,"[27,45]"
Beverages intake,Beverages intake,Beverages intake
"Dairy,milk",Low,"[16,24,52]"
Soft drinks,High,"[11,16,52]"
Fruit juice,High,"[11,52]"
Sugar-sweetened beverages,High,[25]
Beer,High,[53]
Alcohol,High,"[50,52]"
Food intake,Food intake,Food intake
Sugar,High,"[5,27,48]"
Starch,High,[27]
Fruit,Low,"[5,16,51-53,55]"
Vegetables,Low,"[5,52,55]"
Cereal,Low,[53]
Legumes,Low,[52]
Olive oil,Low,[53]
Nuts,High,[53]
Meat,High,"[16,36,52,53]"
Fish,High,[11]
Bakery,High,[11]
Food,Food,Food
Diet quality,Poor,"[15,25,26,32,41]"
