,0,1,2,3,4
0,Catechols,A,B,C,D
1,Delphinidin 3-glucoside,5.66,1.65,0.85,10.15
2,Procyandin B peak1,0.71,2.47,2.75,2.40
3,Cyanidin 3-glucoside,1.29,0.69,0.71,6.84
4,Procyanidin trimer peak 1,0.16,0.96,0.86,0.65
5,Catechin,0.41,1.29,1.30,0.99
6,Procyanidin trimer peak 2,0.20,0.77,0.76,0.59
7,Petunidin 3-glucoside,9.23,7.12,6.54,21.52
8,Procyanidin B peak4,0.82,2.27,2.58,2.20
9,Epicatechin,0.45,1.08,1.38,0.83
10,Procyanidin trimer peak 3,0.33,1.12,1.17,0.97
11,Petunidin 3-O-glucoside-acetaldehyde,0.27,0.06,0.06,0.02
12,Procyanidin tetramer,0.09,0.40,0.42,0.20
13,Delphinidin 3-O-glucoside-8-ethyl-(epi)catechin,0.31,0.03,0.02,0.02
14,"Delphinidin 3-(6""-acetyl)-glucoside",0.70,2.28,1.46,10.36
15,Myricetin 3-glucuronide,0.35,0.47,0.39,0.28
16,Myricetin 3-glucoside,0.86,1.65,1.76,0.83
