,0,1,2,3,4
0,Iype Of Fatty Acid,Genus,Relative Abundance (%),Relative Abundance (%), q Value a
1,,,Lower Intake,Higher Intake,
2,TFAs,Sutterella,0.57,2.41,<0.0001
3,,Acidaminococcus,0.03,0.24,0.04
4,MUFAs,Lachnoclostridium,0.87,1.57,0.002
5,,Sutterella,0.80,2.29,0.002
6,,Founierella,0.02,0.13,0.035
7,,Fusobacterium,0.82,1.97,0.036
8,,Intestinibacter,0.15,0.17,0.041
9,PUFAs,Anaerostipes,0.91,0.12,0.0006
10,,Sutterella,0.66,2.44,0.0006
11,,Acidaminococcus,0.03,0.26,0.01
12,,Bilophila,0.50,0.99,0.02
13,,Colidextribactor,0.14,0.33,0.02
14,,Prevotella,1.50,3.39,0.02
15,n3-FAs,Alloprevotella,0.60,0,0.004
16,,Faecalibacterium,4.34,9.92,0.004
17,,Subdoligranulum,0.21,0.73,0.004
18,,Acidaminococcus,0.03,0.26,0.007
19,,Sutterella,0.85,2.30,0.026
20,,Phascolarctobacterium,0.44,0.78,0.03
21,,Tyzzerella,0.45,0.14,0.03
22,n6-FAs,Anaerostipes,0.91,0.12,<0.001
23,,Sutterella,0.66,2.44,<0.001
24,,Acidaminococcus,0.03,0.26,0.007
25,,Bilophila,0.50,0.99,0.007
26,,Colidextribacter,0.14,0.33,0.014
27,,Prevotella,1.51,3.39,0.014
28,SFAs,Tyzzerella,0.11,0.43,0.0004
29,,Negativibacilus,0.18,0.04,0.003
30,,Butyricimonas,0.15,0.20,0.032
31,,Fusobacterium,0.66,2.37,0.030
32,,Bifidobacterium,0.14,0.41,0.031
33,,Intestinibacter,0.26,0.06,0.031
34,,Veillonella,0.14,0.42,0.031
35,TrFAs,Bifidobacterium,0.19,0.36,0.008
36,,Tyzzerella,0.10,0.34,0.008
37,,Butyricicoccus,0.13,0.34,0.028
