,"Tertiles of total 
VHEl score","Tertiles of total 
VHEl score","Tertiles of total 
VHEl score",
"Socio-demographic
Characteristics*","T1
(n 2742)","T2
(n 2742)","T3
N 2741)",P-valuet
Regions (%),,,,<0.001
Red River delta,13.5,19.7,28.8,
"Northern midlands
and mountain areas",13.6,19.3,18,
"Northern and central
coastal areas",33.2,25.3,17,
Central highland,7.1,4.9,4.1,
Southeast,7.6,11.6,18.4,
Mekong River delta,25,19.2,13.7,
Household income (%),,,,<0-001
Lowest,22.9,15,10,
Second,24.8,21,11.5,
Third,19.4,22.8,19.4,
Fourth,19.9,23.2,23.4,
Highest,13,18,35.7,
