,0,1,2,3,4
0,Year,Origin,Extraction,Major chemical constituent (%),Investigators
1,of,,method,,
2,study,,,,
3,1995,"Xalapa,Mexico","HydrodistillationLimonene (32.5), trans-pinocarveol (26.7)","HydrodistillationLimonene (32.5), trans-pinocarveol (26.7)",Sagrero-
4,,,,,Nieves and
5,,,,,Bartley
6,,,,,1995
7,1998,"Tumba-Ngoma, Rwanda",Steam,"-Terpinene72.7,p-cymene15.3),ascaridole7.2",Muhayimana
8,,,distillation,,et al.(1998)
9,1999,"Ibadan, Nigeria",Hydrodistillation,"-Terpinene (56.0,-terpinyl acetate (15.7,p-cymene",Onocha et al.
10,,,,(15.5),1999
11,1999,Hubei China,Hydrodistillation,"Menthol (31.3), -terpinene (13.2), carvomenthenol",Xiufang et al.
12,,,,"(8.5), p-cymene (8.3), 1, 8-cineole (7.4)",1999
13,2000,"Palampur, India",Hydrodistillation,"-Terpinene (65.4), p-cymene (29.4)",Kaul (2010)
14,2002,"Kodaikanal,India",Hydrodistillation,"-Terpinene 63.6, p-cymene 19.5, ascaridole (6.2",Gupta et al.
15,2003,"C. Hahana, Cuba",Hydrodistillation,"-Terpinyl acetate (73.9), p-cymene (4.3)",Pino et al.
16,,,,,(2003)
17,2004,"Route des Sanguinaires,",Commercial,"Ascaridole (41.8), isoascaridole (18.1), p-cymene (16.2),",Cavalli et al.
18,,France,,"-terpinene (9.7), limonene (3.8)",(2004)
19,2004,"Dschang, Cameroun",Hydrodistillation,"Ascaridole (42.3), -terpinyl acetate (12.3, p-cymene",Pamo et al.
20,,,,"(4.3), pinocarveol (7.3)",(2004)
21,2004,AnzalyIran,Hydrodistillation,"-Terpinyl acetate (73.9), p-cymene (4.3)",Navaei and
22,,,,,Mirza (2004)
23,2005,"Tehran, Iran",Hydrodistillation,"Cis-ascaridol (43.4),-terpinene (15.9), camphor",Omidbaigi
24,,,,"(12.4), trans-ascaridol (6.4), p-cymene (5.6),",et al.2005
25,,,,pinocarvone (4.6),
26,2006,"Havana,Cuba",Hydrodistillation,"Ascaridole (22.5), carvacrol (62.4), caryophyllene oxide",Monzote et al.
27,,,,(5.6),(2006)
28,2006,Ibadan Nigeria,Hydrodistillation,"-Terpinene (55.6),p-cymene (16.7,1,4-epoxy-p",Kasali et al.
29,,,,menth-2-ene (17.7),(2011)
30,2007,"Fujian, China",Steam,"-Terpinene11.7,bornylene42.6,benzene,1-methyl-",Xin et al.
31,,,distillation,"4-(1-methylethyl) (21.8), ascaridole (18.4)",(2007
32,2008,"Vicosa, Brazil",Hydrodistillation,"p-Cymene2.0,Z-ascaridole61.4,carvacrol3.9",Jardim et al.
33,,,,(E)-ascaridole (18.6),(2008)
34,2009,"Lome, Togo",Steam,"Ascaridole (51.1), p-cymene (19.8), neral (8.7), geraniol",Koba et al.
35,,,distillation,(7.5),(2009)
36,2009,"Ijoko, Nigeria",Hydrodistillation,"-Terpinene 63.1,p-cymene 26.4, ascaridole (3.9",Owolabi et al.
37,,,,,(2009)
38,2009,"Meknes, Morocco",,"Hydrodistillation-Terpinene (61.0), carene (13.5), p-cymene (12.9)",Boutkhil et al.
39,,,,,(2009)
40,2010,"Dschang, Cameroon",,"Hydrodistillation-Terpinene (51.3), p-cymene (23.4), p-mentha-1,8.",Chekem et al.
41,,,,diene (15.3),(2010)
42,2010,"Xindian of Fuzhou,",Steam,"Xindian: p-Cymene (49.6), -terpinene (26.8),",Hui et al.
43,,"Pingtan County,",distillation,"isoascaridole (8.2),Pingtan County: p-Cymene(47.2),",2010)
44,,"Liancheng County, China",,"-terpinene (27.2), isoascaridole (8.8), Liancheng",
45,,,,"County: p-Cymene (36.3), 2, 5-dimethyl-3-hexyne-2.",
46,,,,"5-diol (20), -terpinene (12.7), isoascaridole (3)",
47,2011,"La Cumcubin,Cuba",Hydrodistillation,"Ascaridole (47.1), -terpinene (20.7), p-cymene (21.1)",Monzote et al.
48,,,,,(2011)
49,2011,"Fujian, China",Hydrodistillation,"(Z)-Ascaridole (29.7), p-cymene (12.7), isoascaridole",Chu et al.2011
50,,,,"(13.0), piperitone (5.0), isothymol (4.9)",
