,0,1,2,3
0,Microbial Niche,Host Plant,Beneficial Traits,References
1,Endosphere,Ceriops decandra,Biocontrol activity,[88]
2,,"Vicia faba, Ephedra pachyclada",Plant growth-promoting traits,"[89,90]"
3,,Capsicum annum,Salt stress tolerance,[14]
4,,Triticum aestivum,"IAA,ammonia,HCN, an enzyme production",[91]
5,,Glycine max,Bioremediation of heavy metals,[92]
6,,,"Nitrogen fixation,",
7,,Corchorus olitorius,1-aminocyclopropane-1-carboxylate (ACC),[93]
8,,Corchorus olitorius,"deaminase activity,IAA,and",[93]
9,,,siderophore production,
10,,Oryza sativa,"HCN, DNase activity",[94]
11,,,"IAA,phosphate and potassium solubilization",
12,,Hordeum vulgare,"nitrogen fixation, siderophore, ACC",[95]
13,,,deaminase activity,
14,Rhizosphere,Zea mays,Salt stress tolerance,[96]
15,,,"Biocontrol activity, mineral solubilization,",
16,,Cucumis sativus,"siderophore and enzyme production, IAA and",[97]
17,,Cucumis sativus,"polyamine biosynthesis, ACC",[97]
18,,,deaminase activity,
19,,Ocimum basilicum,Plant growth-promoting traits,[98]
20,,Pinus sylvestris,"production, and IAA synthesis",[99]
21,,Lolium perenne,Phytoremediation of environmental pollutants,[100]
22,,Crocus sativus,Plant growth-promoting traits and,[101]
23,,Crocus sativus,biocontrol potential,[101]
24,,Ziziphus lotus,Heavy metal tolerance,[102]
