,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Code,Compound,Cultivar,,,,Type of Bags,,,,Cultivar,Treatment,Treatment 
1,,,,White Bag,Pink Bag,,Blue Bag,Transparent Bag,Mesh Bag,Paper Bag,p Value,p Value,Cultivar
2,,,,White Bag,Pink Bag,Yellow Bag,Blue Bag,Transparent Bag,Mesh Bag,Paper Bag,p Value,p Value,p Value
3,M17,4-Terpineol,RDHY,1.700.01c,1.50 0.01 e,1.700.05c,1.56 0.01 d,2.22  0.04 b,2.970.01 a,1.62 0.01 c,<0.001,<0.001,<0.001
4,,,RDHM,2.49  0.01 a,1.67  0.01 c,2.49  0.20 a,1.87 0.07 b,4.15  0.18 a,2.35  0.02 a,2.88 0.05 b,,0.002,
5,M18,Neral,RDHY,2.85  0.02 a,2.81  0.08 a,2.80  0.05 a,2.78  0.05 a,2.78  0.05 a,2.82  0.08 a,2.84  0.08 a,<0.001,0.002,0.115
6,,,RDHM,2.87 0.07 a,2.91 0.10 a,3.140.15 a,2.86  0.07 a,3.03 0.11 a,3.04  0.03 a,2.88  0.03 a,,,
7,M19,-Terpineol,RDHY,41.00  0.89 c,17.17  0.80 f,50.68  6.14 c,35.07  0.99 d,106.46  5.58 b,189.84  0.47 a,31.45  0.15 e,<0.001,<0.001,<0.001
8,,,RDHM,156.97  0.02 b,68.73  0.01 d,212.25  35.57 b,97.82  9.03 c,480.07  26.69 a,182.72  1.31 b,199.46  1.20 b,,,
9,M20,Geranial,RDZH,3.900.03c,3.69  0.02 e,4.91  0.04 a,3.72 0.00 e,3.780.02d,4.470.04 b,3.510.01f,<0.001,<0.001,0.001
10,M20,Geranial,RDHY,3.33  0.02 a,3.050.02b,3.01 0.03 b,2.97 0.02 b,2.97 0.01 b,3.04  0.01 b,3.07 0.01 b,,,
11,,,RDHM,3.360.02 b,3.420.01 ab,4.56  0.28 a,3.450.08 ab,4.22  0.03 a,4.44  0.09 a,3.74 0.00 a,,,
12,M21,3-,RDZH,30.38  0.06 b,12.90  0.10 e,10.64  0.04 f,11.32  0.42 f,35.68  0.43 a,28.60  0.68 c,20.54  0.37 d,<0.001,<0.001,<0.001
13,M21,Citronellol,RDHY,75.53  1.19 ab,57.75 1.23 b,56.67  6.43 b,65.77  0.81 b,74.25  3.74 ab,15.100.09 a,9.04  0.00 a,,,
14,,Citronellol,RDHM,10.22  0.36 a,3.810.04 c,8.97 1.26 a,5.230.60b,14.33 0.41 a,15.100.09 a,9.04  0.00 a,,,
15,M22,Nerol,RDHY,100.32  1.42 a,72.64  2.06 b,81.21  8.18 b,86.08  0.92 b,62.702.76 c,102.40  0.90 a,83.52  2.03 b,<0.001,<0.001,<0.001
16,,,RDHM,66.07 0.54 c,46.30  0.31 e,117.8316.91 b,54.95  4.61 d,167.17  7.33 a,138.46  0.56 b,90.92  0.45 b,,,
17,M23,Isogeraniol,RDHY,1.020.00 c,0.700.07 d,0.900.05 d,1.140.03 b,0.84 0.09 d,1.230.05b,1.46  0.09 a,<0.001,<0.001,<0.001
18,,,RDHM,0.490.01 a,0.53  0.02 a,0.83  0.22 a,0.44  0.01 b,0.91 0.02 a,1.130.01 a,0.79  0.02 a,<0.001,,<0.001
19,M24,trans-,RDZH,nd,nd,nd,nd,nd,nd,nd,<0.001,<0.001,<0.001
20,M24,Isogeraniol,RDHY,tr,tr,0.55 0.02 b,tr,0.58  0.02 b,0.820.05 a,tr,,,
21,,,RDHM,tr,tr,tr,tr,0.950.01 a,0.710.00b,tr,,,<0.001
22,M25,Geraniol,RDHY,1152.08  22.92 a,457.63 14.53 b,,497.57  5.74 b,461.10  23.04 b,751.39  12.20 a,579.61  16.96 b,<0.001,<0.001,<0.001
23,,,RDHM,787.406.12 b,799.42  9.01 b,1818.86  269.13 a,948.40  98.76 b,1938.07 65.03 a,1927.52  4.34 a,1371.84  8.79 a,,,<0.001
24,M26,Geranic acid,RDZH,485.05  1.76 a,361.99  20.49,184.12  7.55 d,229.83  7.17 c,474.83  27.11 a,520.57 28.02 a,317.48 1.66 b,<0.001,<0.001,<0.001
25,M26,Geranic acid,RDHY,1352.11 53.42 b,a839.78  81.15 c,1586.83  110.41 b,1265.26 13.28 b,1537.73  86.14 b,2365.66  64.53 a,1405.63  17.42 b,,,
26,,,RDHM,45.46 1.35 b,68.84 7.05b,147.77  30.49 a,47.65  8.64 b,105.64  0.36 a,157.80  2.19 a,115.27 0.31 a,,,
